Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
1952-01-24,0.001401
1952-01-25,0.001094
1952-01-26,0.000921
1952-01-28,0.001072
1952-01-29,0.000181
1952-01-30,-0.010889
1952-01-31,-0.004054
1952-02-01,0.006180
1952-02-02,0.003921
1952-02-04,-0.011074
1952-02-05,-0.002703
1952-02-06,0.003061
1952-02-07,0.001831
1952-02-08,0.005101
1952-02-09,0.000361
1952-02-11,-0.003078
1952-02-13,-0.006696
1952-02-14,-0.002536
1952-02-15,0.000080
1952-02-16,-0.000527
1952-02-18,-0.004049
1952-02-19,-0.014855
1952-02-20,-0.011107
1952-02-21,0.003251
1952-02-23,0.006789
1952-02-25,-0.002838
1952-02-26,-0.005099
1952-02-27,0.002173
1952-02-28,0.007246
1952-02-29,-0.000610
1952-03-01,0.000809
1952-03-03,0.002577
1952-03-04,0.013077
1952-03-05,0.002207
1952-03-06,-0.000023
1952-03-07,0.002109
1952-03-08,0.003140
1952-03-10,-0.004930
1952-03-11,0.002209
1952-03-12,0.002652
1952-03-13,0.000584
1952-03-14,0.002506
1952-03-15,0.002085
1952-03-17,0.000805
1952-03-18,-0.001230
1952-03-19,-0.002397
1952-03-20,0.003517
1952-03-21,0.000543
1952-03-22,-0.000034
1952-03-24,-0.001057
1952-03-25,-0.004030
1952-03-26,-0.000646
1952-03-27,0.007876
1952-03-28,0.006014
1952-03-29,0.005531
1952-03-31,0.001091
1952-04-01,-0.007709
1952-04-02,-0.000718
1952-04-03,0.000980
1952-04-04,-0.005220
1952-04-05,-0.001367
1952-04-07,-0.009250
1952-04-08,0.005729
1952-04-09,-0.000065
1952-04-10,0.003387
1952-04-12,0.000527
1952-04-14,-0.007668
1952-04-15,-0.010825
1952-04-16,-0.001324
1952-04-17,-0.008459
1952-04-18,0.004075
1952-04-19,0.000617
1952-04-21,0.006998
1952-04-22,-0.004371
1952-04-23,-0.004534
1952-04-24,-0.004176
1952-04-25,0.004131
1952-04-26,0.001524
1952-04-28,-0.002184
1952-04-29,-0.003254
1952-04-30,-0.006943
1952-05-01,-0.007016
1952-05-02,0.014294
1952-05-03,0.003052
1952-05-05,0.002924
1952-05-06,0.002591
1952-05-07,0.006410
1952-05-08,0.002801
1952-05-09,0.000199
1952-05-10,-0.000792
1952-05-12,-0.001432
1952-05-13,0.001680
1952-05-14,-0.003225
1952-05-15,-0.003543
1952-05-16,0.000632
1952-05-17,0.000207
1952-05-19,0.001404
1952-05-20,0.005061
1952-05-21,0.002744
1952-05-22,0.006451
1952-05-23,-0.000820
1952-05-24,-0.000051
1952-05-26,0.002143
1952-05-27,-0.001792
1952-05-28,-0.001340
1952-05-29,0.000028
1952-06-02,-0.001263
1952-06-03,-0.000744
1952-06-04,0.005635
1952-06-05,0.006585
1952-06-06,0.005523
1952-06-09,0.003770
1952-06-10,-0.003308
1952-06-11,0.002630
1952-06-12,0.000428
1952-06-13,0.002074
1952-06-16,-0.001491
1952-06-17,0.000766
1952-06-18,0.002367
1952-06-19,0.003038
1952-06-20,0.001426
1952-06-23,-0.001119
1952-06-24,0.000811
1952-06-25,0.003667
1952-06-26,0.002220
1952-06-27,0.002309
1952-06-30,0.003698
1952-07-01,0.005338
1952-07-02,-0.001628
1952-07-03,-0.000008
1952-07-07,-0.003452
1952-07-08,0.000451
1952-07-09,-0.002710
1952-07-10,-0.001974
1952-07-11,0.004971
1952-07-14,0.000772
1952-07-15,0.004893
1952-07-16,-0.000887
1952-07-17,-0.003379
1952-07-18,-0.006333
1952-07-21,0.002296
1952-07-22,0.002158
1952-07-23,0.004335
1952-07-24,0.003307
1952-07-25,-0.002162
1952-07-28,-0.000090
1952-07-29,0.002075
1952-07-30,0.002330
1952-07-31,0.001145
1952-08-01,0.000656
1952-08-04,-0.001335
1952-08-05,0.000437
1952-08-06,0.001602
1952-08-07,0.002453
1952-08-08,0.000067
1952-08-11,0.000206
1952-08-12,-0.006891
1952-08-13,-0.000105
1952-08-14,-0.000132
1952-08-15,-0.001939
1952-08-18,-0.010278
1952-08-19,0.000162
1952-08-20,0.002212
1952-08-21,0.001384
1952-08-22,0.000094
1952-08-25,-0.003604
1952-08-26,-0.000691
1952-08-27,0.003662
1952-08-28,0.002478
1952-08-29,0.002897
1952-09-02,0.003374
1952-09-03,0.002367
1952-09-04,-0.000819
1952-09-05,-0.001159
1952-09-08,-0.004156
1952-09-09,-0.010646
1952-09-10,-0.004451
1952-09-11,0.001557
1952-09-12,-0.002038
1952-09-15,-0.009538
1952-09-16,0.004210
1952-09-17,0.002787
1952-09-18,-0.001675
1952-09-19,0.002151
1952-09-22,0.000946
1952-09-23,0.003474
1952-09-24,0.003234
1952-09-25,0.000001
1952-09-26,-0.002687
1952-09-29,-0.000648
1952-09-30,-0.005553
1952-10-01,-0.002464
1952-10-02,-0.000045
1952-10-03,-0.001791
1952-10-06,-0.002793
1952-10-07,0.000354
1952-10-08,0.004841
1952-10-09,0.000390
1952-10-10,0.000012
1952-10-14,-0.003371
1952-10-15,-0.014680
1952-10-16,-0.006348
1952-10-17,0.011694
1952-10-20,-0.003116
1952-10-21,-0.001599
1952-10-22,-0.009655
1952-10-23,0.003510
1952-10-24,0.004069
1952-10-27,0.001309
1952-10-28,0.000442
1952-10-29,0.000574
1952-10-30,0.000010
1952-10-31,0.013770
1952-11-03,0.005641
1952-11-05,0.005023
1952-11-06,0.003908
1952-11-07,0.003958
1952-11-10,-0.000048
1952-11-12,-0.001551
1952-11-13,0.000583
1952-11-14,-0.000039
1952-11-17,0.001992
1952-11-18,0.014297
1952-11-19,0.007276
1952-11-20,-0.001496
1952-11-21,-0.000006
1952-11-24,0.006230
1952-11-25,0.001331
1952-11-26,0.006135
1952-11-28,0.004956
1952-12-01,0.001421
1952-12-02,0.002717
1952-12-03,-0.000198
1952-12-04,-0.003263
1952-12-05,0.001531
1952-12-08,0.004203
1952-12-09,0.004166
1952-12-10,0.000485
1952-12-11,0.000122
